Date,Price,Open,High,Low,Vol.,Change %
30-08-24,77.6,77.6,77.6,77.6,,0.07%
29-08-24,77.54,77.54,77.54,77.54,,0.01%
28-08-24,77.53,77.53,77.53,77.53,,-0.10%
27-08-24,77.61,77.61,77.61,77.61,,-0.51%
26-08-24,78,78,78,78,,0.61%
23-08-24,77.53,77.53,77.53,77.53,,0.52%
22-08-24,77.13,77.13,77.13,77.13,,0.51%
21-08-24,76.73,76.73,76.73,76.73,,-0.61%
20-08-24,77.21,77.21,77.21,77.21,,-0.04%
19-08-24,77.24,77.24,77.24,77.24,,-1.04%
16-08-24,78.05,78.05,78.05,78.05,,-0.95%
15-08-24,78.79,78.8,78.8,78.8,,1.16%
14-08-24,77.89,77.89,77.89,77.89,,-0.67%
13-08-24,78.42,78.42,78.42,78.42,,-1.57%
12-08-24,79.66,79.66,79.66,79.66,,2.93%
09-08-24,77.39,77.39,77.39,77.39,,-0.14%
08-08-24,77.5,77.5,77.5,77.5,,0.74%
07-08-24,76.93,76.94,76.94,76.94,,2.11%
06-08-24,75.35,75.35,75.35,75.35,,0.09%
05-08-24,75.28,75.28,75.28,75.28,,-1.33%
02-08-24,76.3,76.3,76.3,76.3,,-2.97%
01-08-24,78.63,78.63,78.63,78.63,,-6.20%
31-07-24,83.83,83.83,83.83,83.83,,0.12%
30-07-24,83.73,83.73,83.73,83.73,,-0.03%
29-07-24,83.75,83.75,83.75,83.75,,-0.16%
26-07-24,83.88,83.88,83.88,83.88,,-0.23%
25-07-24,84.07,84.07,84.07,84.07,,0.17%
24-07-24,83.93,83.93,83.93,83.93,,0.19%
23-07-24,83.78,83.78,83.78,83.78,,-0.44%
22-07-24,84.15,84.15,84.15,84.15,,-0.07%
19-07-24,84.21,84.21,84.21,84.21,,-1.00%
18-07-24,85.06,85.06,85.06,85.06,,-0.17%
17-07-24,85.21,85.21,85.21,85.21,,0.76%
16-07-24,84.57,84.57,84.57,84.57,,-0.66%
15-07-24,85.13,85.13,85.13,85.13,,0.02%
12-07-24,85.11,85.11,85.11,85.11,,-0.51%
11-07-24,85.55,85.55,85.55,85.55,,0.15%
10-07-24,85.42,85.42,85.42,85.42,,0.24%
09-07-24,85.21,85.21,85.21,85.21,,-0.95%
08-07-24,86.03,86.03,86.03,86.03,,-0.52%
05-07-24,86.48,86.48,86.48,86.48,,-0.77%
03-07-24,87.15,87.15,87.15,87.15,,1.39%
02-07-24,85.95,85.95,85.95,85.95,,-0.63%
01-07-24,86.5,86.5,86.5,86.5,,4.78%
28-06-24,82.55,82.55,82.55,82.55,,0.07%
27-06-24,82.49,82.49,82.49,82.49,,0.03%
26-06-24,82.47,82.47,82.47,82.47,,0.05%
25-06-24,82.42,82.42,82.42,82.42,,-0.22%
24-06-24,82.6,82.6,82.6,82.6,,0.22%
21-06-24,82.42,82.42,82.42,82.42,,-0.18%
20-06-24,82.57,82.57,82.57,82.57,,0.10%
18-06-24,82.49,82.49,82.49,82.49,,0.41%
17-06-24,82.15,82.15,82.15,82.15,,0.76%
